nID;nID_Service;nID_City;nID_Region;nID_ServiceType;oData;sURL;bHidden;nID_Subject_Operator;bTest;sNote;asAuth
1;1;2;NULL;1;{};https://dniprorada.igov.org.ua;false;1;true;Перейдя на этот сайт Вы сможете получить услугу;BankID,EDS
2;1;NULL;2;3;;https://lviv.igov.org.ua;true;1;true;;BankID,EDS
3;2;1;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"CivilCardAccountlRequest:4:12564"}};https://region.igov.org.ua/wf/;false;1;true;;BankID,EDS
4;3;1;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"demo1:4:12555"}};https://region.igov.org.ua/wf/;true;1;true;;BankID,EDS
5;4;1;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"CivilCopyDocRequest:4:12565"}};https://region.igov.org.ua/wf/;false;1;true;;BankID,EDS
6;5;1;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"demo14:4:12561"}};https://region.igov.org.ua/wf/;true;1;true;;BankID,EDS
7;6;4;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"ivFrank_mvk_2:4:12566"}};https://region.igov.org.ua/wf/;false;1;true;;BankID,EDS
8;4;4;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"ivFrank_mvk_1:4:12556"}};https://region.igov.org.ua/wf/;false;1;true;;BankID,EDS
9;627;4;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"demo3:4:12548"}};https://region.igov.org.ua/wf/;true;1;true;;BankID,EDS
10;9;4;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"demo4:4:12557"}};https://region.igov.org.ua/wf/;true;1;true;;BankID,EDS
11;10;5;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"monetaryValuationOfLand:4:12568"}};https://region.igov.org.ua/wf/;false;1;true;;BankID,EDS
12;101;NULL;NULL;1;{};http://map.land.gov.ua/kadastrova-karta;false;1;false;Ви можете отримати послугу на сайті Публічної кадастрової карти України;BankID,EDS
13;12;6;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"kiev_mda_1:4:12570"}};https://region.igov.org.ua/wf/;false;1;true;;BankID,EDS
14;627;3;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"demo6:1:60057"}};https://region.igov.org.ua/wf/;true;1;true;;BankID,EDS
15;14;3;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"demo7:1:60063"}};https://region.igov.org.ua/wf/;true;1;true;;BankID,EDS
16;15;3;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"demo8:4:12553"}};https://region.igov.org.ua/wf/;true;1;true;;BankID,EDS
17;16;3;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"demo9:4:12551"}};https://region.igov.org.ua/wf/;true;1;true;;BankID,EDS
18;17;15;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"nikolaev_oda_2:4:12567"}};https://region.igov.org.ua/wf/;false;1;false;;BankID,EDS
19;18;15;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"nikolaev_oda_3:4:12552"}};https://region.igov.org.ua/wf/;false;1;true;;BankID,EDS
20;19;15;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"nikolaev_oda_4:4:12558"}};https://region.igov.org.ua/wf/;false;1;true;;BankID,EDS
21;20;15;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"nikolaev_oda_1:4:12549"}};https://region.igov.org.ua/wf/;false;1;true;;BankID,EDS
